,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,03,,"　　33020717900
　　第一預備金",400,400,-,-,
,,,01,"　　　33020717901
　　　第一預備金",400,400,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金400千元
　"
　,　,　,　,　,　,　,　,　,　
,,04,,"　　33020719000
　　一般建築及設備","8,274","14,167","29,837","-5,893",
,,,01,"　　　33020719001
　　　一般建築及設
　　　備","8,274","14,167","29,837","-5,893","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資8,274千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 5,893千元
　　減列 設備及投資5,893千元
　"
,,05,,"　　58020711000
　　農林管理業務",462,448,460,14,
,,,01,"　　　58020711001
　　　農林管理業務",462,448,460,14,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費44千元
　　業務費418千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 14千元
　　增列 業務費14千元
　"
,,06,,"　　68020710200
　　社政業務","22,776","22,093","18,493",683,
,,,01,"　　　68020710201
　　　社會福利","22,776","22,093","18,493",683,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,648千元
　　業務費3,285千元
　　獎補助費17,843千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 683千元
　　增列 人事費393千元
　　減列 業務費83千元
　　增列 獎補助費373千元
　"
,032,,,"　00020720000
　臺中市后里區公所","370,970","340,859","287,507","30,111",
,,01,,"　　33020720100
　　一般行政","70,124","70,688","64,608",-564,
,,,01,"　　　33020720101
　　　行政管理","70,124","70,688","64,608",-564,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費54,244千元
　　業務費15,592千元
　　獎補助費288千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 564千元
　　減列 業務費564千元
　"
,,02,,"　　33020720500
　　區公所業務","96,026","80,125","78,025","15,901",
,,,01,"　　　33020720501
　　　民政業務","74,201","67,226","67,643","6,975","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費83千元
　　業務費35,351千元
　　獎補助費38,767千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6,975千元
　　減列 人事費813千元
　　增列 業務費376千元
　　增列 獎補助費7,412千元
　"
,,,02,"　　　33020720502
　　　經建業務","19,858","11,420","9,151","8,438","一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50千元
　　業務費13,305千元
　　獎補助費6,503千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 8,438千元
　　增列 業務費2,000千元
　　增列 獎補助費6,438千元
　"
,,,03,"　　　33020720503
　　　人文業務","1,967","1,479","1,231",488,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50千元
　　業務費1,837千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 488千元
　　增列 業務費488千元
　"
,,03,,"　　33020727900
　　第一預備金",250,250,-,-,
,,,01,"　　　33020727901
　　　第一預備金",250,250,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金250千元
　"
,,04,,"　　33020729000
　　一般建築及設備","138,683","131,420","102,177","7,263",
,,,01,"　　　33020729001
　　　一般建築及設
　　　備","138,683","131,420","102,177","7,263","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資135,420千元
　　獎補助費3,263千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 7,263千元
　　增列 設備及投資11,522千元
　　減列 獎補助費4,259千元
　"
,,05,,"　　58020721000
　　農林管理業務","11,004","6,626","9,745","4,378",
,,,01,"　　　58020721001
　　　農林管理業務","11,004","6,626","9,745","4,378","一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費60千元
　　業務費10,214千元
　　獎補助費730千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,378千元
　　增列 業務費4,548千元
　　減列 獎補助費170千元
　"
,,06,,"　　68020720200
　　社政業務","54,883","51,750","32,952","3,133",
,,,01,"　　　68020720201
　　　社會福利","54,883","51,750","32,952","3,133","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費601千元
　　業務費6,316千元
　　獎補助費47,966千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,133千元
　　增列 人事費300千元
　　減列 業務費1,425千元
　　增列 獎補助費4,258千元
　"
,033,,,"　00020730000
　臺中市石岡區公所","102,681","68,000","73,279","34,681",
,,01,,"　　33020730100
　　一般行政","43,286","41,556","37,942","1,730",
,,,01,"　　　33020730101
　　　行政管理","43,286","41,556","37,942","1,730","一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費33,632千元
　　業務費9,492千元
　　獎補助費162千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,730千元
　　增列 人事費9千元
　　增列 業務費1,721千元
　"
,,02,,"　　33020730500
　　區公所業務","26,851","17,408","21,596","9,443",
,,,01,"　　　33020730501
　　　民政業務","19,926","16,449","16,864","3,477","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費97千元
　　業務費15,213千元
　　獎補助費4,616千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,477千元
　　減列 人事費436千元
　　增列 業務費2,153千元
　　增列 獎補助費1,760千元
　"
,,,02,"　　　33020730502
　　　經建業務","1,483",417,875,"1,066","一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費30千元
　　業務費1,453千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,066千元
　　增列 業務費1,066千元
　"
,,,03,"　　　33020730503
　　　人文業務","5,442",542,"3,857","4,900","一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50千元
　　業務費5,312千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,900千元
　　增列 業務費4,900千元
　"
,,03,,"　　33020737900
　　第一預備金",200,200,-,-,
,,,01,"　　　33020737901
　　　第一預備金",200,200,-,-,"一、本科目包括第一預備金
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　預備金200千元
　"
,,04,,"　　33020739000
　　一般建築及設備","20,782","2,335","5,454","18,447",
,,,01,"　　　33020739001
　　　一般建築及設
　　　備","20,782","2,335","5,454","18,447","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資19,382千元
　　獎補助費1,400千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 18,447千元
　　增列 設備及投資17,047千元
　　增列 獎補助費1,400千元
　"
,,05,,"　　58020731000
　　農林管理業務",165,173,128,-8,
,,,01,"　　　58020731001
　　　農林管理業務",165,173,128,-8,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費44千元
　　業務費121千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 8千元
　　減列 人事費8千元
　"
,,06,,"　　68020730200
　　社政業務","11,397","6,328","8,159","5,069",
,,,01,"　　　68020730201
　　　社會福利","11,397","6,328","8,159","5,069","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,049千元
　　業務費5,171千元
　　獎補助費5,177千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5,069千元
　　增列 人事費301千元
　　增列 業務費4,521千元
　　增列 獎補助費247千元
　"
,034,,,"　00020740000
　臺中市霧峰區公所","152,827","152,278","169,589",549,
,,01,,"　　33020740100
　　一般行政","82,548","82,886","74,972",-338,
,,,01,"　　　33020740101
　　　行政管理","82,548","82,886","74,972",-338,"一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費63,460千元
　　業務費18,698千元
　　獎補助費390千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 338千元
　　減列 人事費792千元
　　增列 業務費454千元
　"
,,02,,"　　33020740500
　　區公所業務","41,078","41,166","37,069",-88,
,,,01,"　　　33020740501
　　　民政業務","38,202","38,145","34,226",57,"一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費36千元
　　業務費28,364千元
　　獎補助費9,802千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 57千元
　　減列 人事費532千元
　　增列 業務費959千元
　　減列 獎補助費370千元
　"
,,,02,"　　　33020740502
　　　經建業務","1,075","1,120","1,117",-45,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費551千元
　　業務費524千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 45千元
　　增列 人事費1千元
　　減列 業務費46千元
　"
,,,03,"　　　33020740503
　　　人文業務","1,801","1,901","1,726",-100,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費1,721千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 100千元
　　減列 業務費100千元
　"
,,03,,"　　33020747900
　　第一預備金",400,400,-,-,
,,,01,"　　　33020747901
　　　第一預備金",400,400,-,-,"一、本科目包括第一預備金
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　預備金400千元
　"
,,04,,"　　33020749000
　　一般建築及設備","5,976","8,469","39,353","-2,493",
,,,01,"　　　33020749001
　　　一般建築及設
　　　備","5,976","8,469","39,353","-2,493","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資5,826千元
　　獎補助費150千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,493千元
　　減列 設備及投資2,451千元
　　減列 獎補助費42千元
　"
,,05,,"　　58020741000
　　農林管理業務",901,901,780,-,
,,,01,"　　　58020741001
　　　農林管理業務",901,901,780,-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費901千元
　"
,,06,,"　　68020740200
　　社政業務","21,924","18,456","17,415","3,468",
,,,01,"　　　68020740201
　　　社會福利","21,924","18,456","17,415","3,468","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費437千元
　　業務費1,461千元
　　獎補助費20,026千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,468千元
　　增列 人事費437千元
　　增列 業務費143千元
　　增列 獎補助費2,888千元
　"
,035,,,"　00020750000
　臺中市潭子區公所","162,152","153,468","137,509","8,684",
,,01,,"　　33020750100
　　一般行政","77,981","78,709","68,697",-728,
,,,01,"　　　33020750101
　　　行政管理","77,981","78,709","68,697",-728,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費61,189千元
　　業務費16,486千元
　　獎補助費306千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 728千元
　　減列 人事費976千元
　　增列 業務費248千元
　"
,,02,,"　　33020750500
　　區公所業務","36,015","37,010","32,048",-995,
,,,01,"　　　33020750501
　　　民政業務","34,062","35,057","29,524",-995,"一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費183千元
　　業務費26,431千元
　　獎補助費7,448千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 995千元
　　減列 人事費475千元
　　減列 業務費520千元
　"
,,,02,"　　　33020750502
　　　經建業務",858,858,"1,366",-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費49千元
　　業務費809千元
　"
,,,03,"　　　33020750503
　　　人文業務","1,095","1,095","1,158",-,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費19千元
　　業務費996千元
　　獎補助費80千元
　"
,,03,,"　　33020757900
　　第一預備金",400,400,-,-,
,,,01,"　　　33020757901
　　　第一預備金",400,400,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金400千元
　"
,,04,,"　　33020759000
　　一般建築及設備","12,180","9,338","9,104","2,842",
,,,01,"　　　33020759001
　　　一般建築及設
　　　備","12,180","9,338","9,104","2,842","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資12,180千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,842千元
　　增列 設備及投資2,842千元
　"
,,05,,"　　58020751000
　　農林管理業務","3,940","4,007","4,149",-67,
,,,01,"　　　58020751001
　　　農林管理業務","3,940","4,007","4,149",-67,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費30千元
　　業務費3,890千元
　　獎補助費20千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 67千元
　　減列 業務費67千元
　"
,,06,,"　　68020750200
　　社政業務","31,636","24,004","23,511","7,632",
,,,01,"　　　68020750201
　　　社會福利","31,636","24,004","23,511","7,632","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費536千元
　　業務費9,016千元
　　獎補助費22,084千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 7,632千元
　　增列 人事費450千元
　　增列 業務費5,874千元
　　增列 獎補助費1,308千元
　"
,036,,,"　00020760000
　臺中市龍井區公所","348,547","347,901","334,452",646,
,,01,,"　　33020760100
　　一般行政","75,697","77,891","68,883","-2,194",
,,,01,"　　　33020760101
　　　行政管理","75,697","77,891","68,883","-2,194","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費56,559千元
　　業務費18,832千元
　　獎補助費306千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,194千元
　　減列 人事費898千元
　　減列 業務費1,296千元
　"
,,02,,"　　33020760500
　　區公所業務","129,480","128,467","119,948","1,013",
,,,01,"　　　33020760501
　　　民政業務","121,764","122,374","115,038",-610,"一、本科目包括民政業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,136千元
　　業務費34,340千元
　　獎補助費86,288千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 610千元
　　減列 人事費58千元
　　減列 業務費3,752千元
　　增列 獎補助費3,200千元
　"
,,,02,"　　　33020760502
　　　經建業務",997,"1,075",697,-78,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費72千元
　　業務費925千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 78千元
　　減列 人事費8千元
　　減列 業務費70千元
　"
,,,03,"　　　33020760503
　　　人文業務","6,719","5,018","4,213","1,701","一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費40千元
　　業務費6,479千元
　　獎補助費200千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,701千元
　　增列 業務費1,701千元
　"
,,03,,"　　33020767900
　　第一預備金",100,300,-,-200,
,,,01,"　　　33020767901
　　　第一預備金",100,300,-,-200,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金100千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 200千元
　　減列 預備金200千元
　"
,,04,,"　　33020769000
　　一般建築及設備","94,475","94,654","105,050",-179,
,,,01,"　　　33020769001
　　　一般建築及設
　　　備","94,475","94,654","105,050",-179,"一、本科目包括一般建築及設備
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資94,475千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 179千元
　　減列 設備及投資179千元
　"
,,05,,"　　58020761000
　　農林管理業務","4,776","4,876","4,094",-100,
,,,01,"　　　58020761001
　　　農林管理業務","4,776","4,876","4,094",-100,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費32千元
　　業務費4,194千元
　　獎補助費550千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 100千元
　　減列 業務費100千元
　"
,,06,,"　　68020760200
　　社政業務","44,019","41,713","36,477","2,306",
,,,01,"　　　68020760201
　　　社會福利","44,019","41,713","36,477","2,306","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費541千元
　　業務費4,382千元
　　獎補助費39,096千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,306千元
　　增列 人事費450千元
　　增列 業務費1,096千元
　　增列 獎補助費760千元
　"
,037,,,"　00020770000
　臺中市外埔區公所","93,541","91,613","99,810","1,928",
,,01,,"　　33020770100
　　一般行政","50,025","52,819","48,849","-2,794",
,,,01,"　　　33020770101
　　　行政管理","50,025","52,819","48,849","-2,794","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費41,618千元
　　業務費8,227千元
　　獎補助費180千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,794千元
　　減列 人事費1,471千元
　　減列 業務費1,323千元
　"
,,02,,"　　33020770500
　　區公所業務","28,100","21,503","22,137","6,597",
,,,01,"　　　33020770501
　　　民政業務","18,180","19,972","18,925","-1,792","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費84千元
　　業務費13,416千元
　　獎補助費4,680千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,792千元
　　減列 人事費854千元
　　減列 業務費938千元
　"
,,,02,"　　　33020770502
　　　經建業務","8,980",726,"2,543","8,254","一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費25千元
　　業務費691千元
　　獎補助費8,264千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 8,254千元
　　減列 業務費10千元
　　增列 獎補助費8,264千元
　"
,,,03,"　　　33020770503
　　　人文業務",940,805,669,135,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費10千元
　　業務費850千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 135千元
　　增列 業務費135千元
　"
,,03,,"　　33020777900
　　第一預備金",200,200,-,-,
,,,01,"　　　33020777901
　　　第一預備金",200,200,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金200千元
　"
,,04,,"　　33020779000
　　一般建築及設備","2,747","5,384","17,256","-2,637",
,,,01,"　　　33020779001
　　　一般建築及設
　　　備","2,747","5,384","17,256","-2,637","一、本科目包括一般建築及設備
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資2,747千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,637千元
　　減列 設備及投資2,637千元
　"
,,05,,"　　58020771000
　　農林管理業務",456,456,421,-,
,,,01,"　　　58020771001
　　　農林管理業務",456,456,421,-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費38千元
　　業務費418千元
　"
,,06,,"　　68020770200
　　社政業務","12,013","11,251","11,147",762,
,,,01,"　　　68020770201
　　　社會福利","12,013","11,251","11,147",762,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費576千元
　　業務費3,044千元
　　獎補助費8,393千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 762千元
　　增列 人事費300千元
　　減列 業務費23千元
　　增列 獎補助費485千元
　"
,038,,,"　00020780000
　臺中市大安區公所","79,487","88,340","94,758","-8,853",
,,01,,"　　33020780100
　　一般行政","47,289","50,985","48,525","-3,696",
,,,01,"　　　33020780101
　　　行政管理","47,289","50,985","48,525","-3,696","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費39,073千元
　　業務費8,060千元
　　獎補助費156千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,696千元
　　減列 人事費3,169千元
　　減列 業務費527千元
　"
,,02,,"　　33020780500
　　區公所業務","16,324","15,324","13,801","1,000",
,,,01,"　　　33020780501
　　　民政業務","15,923","14,923","13,561","1,000","一、本科目包括民政業務
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費22千元
　　業務費13,165千元
　　獎補助費2,736千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,000千元
　　減列 人事費96千元
　　增列 業務費1,096千元
　"
,,,02,"　　　33020780503
　　　人文業務",401,401,240,-,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費321千元
　　獎補助費80千元
　"
,,03,,"　　33020787900
　　第一預備金",200,200,-,-,
,,,01,"　　　33020787901
　　　第一預備金",200,200,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金200千元
　"
,,04,,"　　33020789000
　　一般建築及設備","4,923","11,830","23,011","-6,907",
,,,01,"　　　33020789001
　　　一般建築及設
　　　備","4,923","11,830","23,011","-6,907","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資4,923千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,907千元
　　減列 設備及投資6,907千元
　"
,,05,,"　　58020781000
　　農林管理業務",579,473,228,106,
,,,01,"　　　58020781001
　　　農林管理業務",579,473,228,106,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費473千元
　　獎補助費106千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 106千元
　　增列 獎補助費106千元
　"
,,06,,"　　68020780200
　　社政業務","10,172","9,528","9,193",644,
,,,01,"　　　68020780201
　　　社會福利","10,172","9,528","9,193",644,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費3,238千元
　　獎補助費6,934千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 644千元
　　增列 業務費300千元
　　增列 獎補助費344千元
　"
,039,,,"　00020790000
　臺中市新社區公所","103,911","119,267","103,022","-15,356",
,,01,,"　　33020790100
　　一般行政","54,875","57,295","50,239","-2,420",
,,,01,"　　　33020790101
　　　行政管理","54,875","57,295","50,239","-2,420","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費44,609千元
　　業務費9,960千元
　　獎補助費306千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,420千元
　　減列 人事費2,303千元
　　減列 業務費117千元
　"
,,02,,"　　33020790500
　　區公所業務","21,855","22,299","24,487",-444,
,,,01,"　　　33020790501
　　　民政業務","20,577","21,021","20,051",-444,"一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費179千元
　　業務費15,574千元
　　獎補助費4,824千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 444千元
　　減列 人事費492千元
　　增列 業務費48千元
　"
,,,02,"　　　33020790502
　　　經建業務",219,219,"3,181",-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費24千元
　　業務費195千元
　"
,,,03,"　　　33020790503
　　　人文業務","1,059","1,059","1,255",-,"一、本科目包括人文業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費24千元
　　業務費955千元
　　獎補助費80千元
　"
,,03,,"　　33020797900
　　第一預備金",200,200,-,-,
,,,01,"　　　33020797901
　　　第一預備金",200,200,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金200千元
　"
,,04,,"　　33020799000
　　一般建築及設備","15,470","28,423","17,555","-12,953",
,,,01,"　　　33020799001
　　　一般建築及設
　　　備","15,470","28,423","17,555","-12,953","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資15,470千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 12,953千元
　　減列 設備及投資12,953千元
　"
,,05,,"　　58020791000
　　農林管理業務",948,948,900,-,
,,,01,"　　　58020791001
　　　農林管理業務",948,948,900,-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費36千元
　　業務費912千元
　"
,,06,,"　　68020790200
　　社政業務","10,563","10,102","9,841",461,
,,,01,"　　　68020790201
　　　社會福利","10,563","10,102","9,841",461,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費467千元
　　業務費851千元
　　獎補助費9,245千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 461千元
　　增列 人事費300千元
　　減列 業務費75千元
　　增列 獎補助費236千元
　"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
